station,time,metar
WARR,2026-02-24 21:36:28,WARR 241430Z 33003KT 8000 FEW020 27/25 Q1009 NOSIG
WARR,2026-02-24 22:08:53,WARR 241500Z 30004KT 8000 FEW020 27/25 Q1010 NOSIG
WARR,2026-02-24 22:37:36,WARR 241530Z 28006KT 8000 FEW020 27/25 Q1010 NOSIG
WARR,2026-02-24 23:15:07,WARR 241600Z 20005KT 8000 FEW020 27/25 Q1010 NOSIG
WARR,2026-02-25 05:33:54,WARR 242200Z 33004KT 5000 HZ FEW020 25/23 Q1008 NOSIG
WARR,2026-02-25 06:26:08,WARR 242300Z 30004KT 5000 HZ FEW020 25/23 Q1008 NOSIG
WARR,2026-02-25 06:39:29,WARR 242330Z 29006KT 7000 FEW020 25/23 Q1008 NOSIG
WARR,2026-02-25 08:09:35,WARR 250100Z 30007KT 9999 FEW020 28/23 Q1009 NOSIG
WARR,2026-02-25 09:06:10,WARR 250200Z VRB04KT 9999 FEW020 29/23 Q1009 NOSIG
WARR,2026-02-25 10:38:14,WARR 250330Z 27011KT 9999 FEW020 32/22 Q1008 NOSIG
WARR,2026-02-25 11:05:33,WARR 250400Z 28012KT 9999 FEW020 32/22 Q1008 NOSIG
WARR,2026-02-25 11:35:25,WARR 250430Z 27014G23KT 9999 FEW020 32/22 Q1008 NOS
WARR,2026-02-25 11:35:36,WARR 250430Z 27014G23KT 9999 FEW020 32/22 Q1008 NOSIG
WARR,2026-02-25 12:05:52,WARR 250500Z 28012KT 9999 FEW020 32/23 Q1007 NOSIG
WARR,2026-02-25 12:35:35,WARR 250530Z 27011KT 9999 FEW020 32/22 Q1007 NOSIG
WARR,2026-02-25 13:05:40,WARR 250600Z 26010KT 9999 FEW020 32/23 Q1007 NOSIG
WARR,2026-02-25 13:35:52,WARR 250630Z 28011KT 9999 FEW020 33/23 Q1006 NOSIG
WARR,2026-02-25 14:05:52,WARR 250700Z 26010KT 9999 FEW020 34/24 Q1006 NOSIG
WARR,2026-02-25 14:35:47,WARR 250730Z 26010G20KT 9999 FEW018CB SCT020 33/23 Q1006 NOSIG
WARR,2026-02-25 15:05:44,WARR 250800Z 26011KT 9999 SCT020 33/23 Q1005 NOSIG
WARR,2026-02-26 09:58:19,WARR 260230Z 25007KT 9999 FEW020 28/23 Q1008 NOSIG
WARR,2026-02-26 10:05:58,WARR 260300Z 27005KT 9999 FEW020 29/23 Q1008 NOSIG
WARR,2026-02-26 10:36:54,WARR 260330Z 27005KT 9999 FEW020 30/23 Q1008 NOSIG
WARR,2026-02-26 11:19:09,WARR 260400Z 31006KT 9999 FEW020 31/23 Q1007 NOSIG
WARR,2026-02-26 11:37:32,WARR 260430Z 29008KT 9999 FEW020 32/23 Q1007 NOSIG
WARR,2026-02-26 12:06:01,WARR 260500Z 30008KT 9999 FEW020 32/25 Q1006 NOSIG
WARR,2026-02-26 13:34:44,WARR 260600Z 31009KT 9999 SCT020 32/24 Q1005 NOSIG
WARR,2026-02-26 13:35:26,WARR 260630Z 33007KT 9999 SCT020 32/24 Q1005 NOSIG
WARR,2026-02-26 14:05:40,WARR 260700Z 28012KT 9999 SCT020 33/23 Q1004 NOSIG
WARR,2026-02-26 14:35:55,WARR 260730Z 27011G19KT 9999 SCT020 33/24 Q1004 NOSIG
WARR,2026-02-26 15:14:55,WARR 260800Z 30028G44KT 0100 +TSRA SCT016CB 25/23 Q1004 TEMPO T L0830 2000 +TSRA
WARR,2026-02-26 15:20:01,WARR 260814Z 30007KT 9999 -TSRA SCT020CB 25/23 Q1004 NOSIG
WARR,2026-02-26 16:54:17,WARR 260930Z 30005KT 9999 SCT020 28/25 Q1004 NOSIG
WARR,2026-02-26 17:05:37,WARR 261000Z 30007KT 9999 SCT020 30/25 Q1004 NOSIG
WARR,2026-02-26 17:37:33,WARR 261030Z 29008KT 9999 SCT020 29/25 Q1004 NOSIG
WARR,2026-02-26 18:06:41,WARR 261100Z 28009KT 9999 SCT020 28/24 Q1005 NOSIG
WARR,2026-02-26 18:35:47,WARR 261130Z 27007KT 9999 SCT020 28/24 Q1005 NOSIG
WARR,2026-02-26 19:09:52,WARR 261200Z 28006KT 9999 SCT020 28/24 Q1005 NOSIG
WARR,2026-02-26 20:22:53,WARR 261300Z 29007KT 9999 SCT020 27/24 Q1006 NOSIG
WARR,2026-02-26 20:36:11,WARR 261330Z 27006KT 9999 FEW020 27/24 Q1006 NOSIG
WARR,2026-02-26 21:05:40,WARR 261400Z 28004KT 9999 FEW020 27/24 Q1006 NOSIG
WARR,2026-02-26 21:53:24,WARR 261430Z 29003KT 9999 FEW020 27/24 Q1006 NOSIG
WARR,2026-02-26 22:05:46,WARR 261500Z 31005KT 9999 FEW020 28/24 Q1006 NOSIG
WARR,2026-02-26 22:45:42,WARR 261530Z 30005KT 9999 FEW020 27/24 Q1006 NOSIG
WARR,2026-02-26 23:06:09,WARR 261600Z 33004KT 9999 FEW020 27/24 Q1006 NOSIG
WARR,2026-02-26 23:35:33,WARR 261630Z 36004KT 9999 FEW020 28/24 Q1006 NOSIG
WARR,2026-02-27 00:05:52,WARR 261700Z 03003KT 7000 FEW020 28/24 Q1006 NOSIG
WARR,2026-02-27 00:36:06,WARR 261730Z VRB02KT 7000 FEW020 27/23 Q1006 NOSIG
WARR,2026-02-27 01:06:17,WARR 261800Z 05003KT 7000 FEW020 27/23 Q1005 NOSIG
WARR,2026-02-27 01:35:31,WARR 261830Z 03004KT 7000 FEW020 27/24 Q1005 NOSIG
WARR,2026-02-27 08:43:03,WARR 270130Z 28005KT 8000 FEW020 30/24 Q1007 NOSIG
WARR,2026-02-27 09:07:46,WARR 270200Z VRB02KT 8000 FEW020 32/23 Q1008 NOSIG
WARR,2026-02-27 09:36:04,WARR 270230Z VRB02KT 8000 FEW020 34/23 Q1007 NOSIG
WARR,2026-02-27 10:06:05,WARR 270300Z 01007KT 8000 FEW020 32/23 Q1007 NOSIG
WARR,2026-02-27 20:11:55,WARR 271300Z 27006KT 5000 -RA SCT020CB 25/24 Q1007 NOSIG
WARR,2026-02-27 20:35:53,WARR 271330Z 28004KT 5000 -RA SCT020CB 25/24 Q1007 NOSIG
WARR,2026-02-28 12:12:36,WARR 280500Z 26010KT 9999 FEW020 33/24 Q1006 NOSIG
WARR,2026-02-28 12:49:04,WARR 280530Z 30010KT 9999 SCT020 34/24 Q1005 NOSIG
WARR,2026-02-28 14:20:34,WARR 280700Z 27011KT 9999 FEW020CB 33/23 Q1004 NOSIG
WARR,2026-02-28 14:35:40,WARR 280730Z 27013KT 9999 FEW020CB 33/23 Q1004 NOSIG
WARR,2026-02-28 21:12:59,WARR 281406Z 21009G23KT 7000 TS SCT020CB 27/23 Q1009 NOSIG
WARR,2026-02-28 21:36:06,WARR 281430Z 25007KT 1500 TSRA SCT048CB 25/23 Q1009 TEMPO TL153 0 1500 TSRA
WARR,2026-02-28 22:05:55,WARR 281500Z 26003KT 6000 -TSRA FEW018CB 26/24 Q1008 TEMPO TL1530 1500 TSRA
WARR,2026-02-28 22:36:17,WARR 281530Z 28003KT 6000 TS FEW020CB 25/24 Q1008 RERA NOSIG
WARR,2026-03-01 07:46:07,WARR 010030Z 26007KT 9999 FEW020 26/24 Q1008 NOSIG
WARR,2026-03-01 08:05:42,WARR 010100Z 26005KT 9999 FEW020 28/24 Q1009 NOSIG
WARR,2026-03-01 08:35:48,WARR 010130Z 27006KT 9999 FEW020 29/25 Q1008 NOSIG
WARR,2026-03-02 10:17:59,WARR 020300Z 26011KT 8000 FEW020 31/25 Q1009 NOSIG
WARR,2026-03-02 10:35:34,WARR 020330Z 23009KT 8000 FEW020 33/25 Q1008 NOSIG
WARR,2026-03-02 11:06:18,WARR 020400Z 25008KT 8000 FEW020 33/25 Q1008 NOSIG
WARR,2026-03-02 15:05:21,WARR 020730Z 27018KT 9000 -RA SCT016CB 32/25 Q1006 TEMPO TL0830 2000 TSRA
WARR,2026-03-02 15:05:53,WARR 020800Z 32012KT 9000 -TSRA SCT016CB 24/22 Q1006 TEMPO TL0830 2000 TSR
WARR,2026-03-02 15:06:05,WARR 020800Z 32012KT 9000 -TSRA SCT016CB 24/22 Q1006 TEMPO TL0830 2000 TSRA
WARR,2026-03-02 15:35:44,WARR 020830Z 32007KT 9000 VCTS -RA SCT018CB 25/23 Q1006 NOSIG
WARR,2026-03-03 08:02:41,WARR 030030Z 27005KT 7000 FEW020 28/25 Q1009 NOSIG
WARR,2026-03-03 08:05:46,WARR 030100Z 28006KT 9000 FEW020 30/25 Q1009 NOSIG
WARR,2026-03-03 08:54:47,WARR 030130Z 28009KT 9000 FEW020 31/25 Q1009 NOSIG
WARR,2026-03-03 09:06:09,WARR 030200Z 27008KT 9000 FEW020 30/25 Q1009 NOSIG
WARR,2026-03-03 09:35:35,WARR 030230Z 29009KT 9999 FEW020 30/25 Q1009 NOSIG
WARR,2026-03-03 15:09:46,WARR 030800Z 31013G28KT 0800 +TSRA SCT016CB 28/24 Q1006 TEMPO TL0930 1000 +TSRA
WARR,2026-03-03 16:07:55,WARR 030900Z 27010KT 4000 TSRA SCT018CB 26/24 Q1006 NOSIG
WARR,2026-03-03 16:35:41,WARR 030930Z 24005KT 7000 RA SCT018CB 26/24 Q1006 TEMPO TL1100 3000 TSRA
WARR,2026-03-03 17:05:29,WARR 031000Z 29004KT 8000 -RA SCT020 26/25 Q1006 NOSIG
WARR,2026-03-04 22:19:45,WARR 041500Z 27010KT 8000 SCT020 26/23 Q1008 NOSIG
WARR,2026-03-05 22:23:20,WARR 051500Z 27011KT 8000 FEW020 27/24 Q1007 NOSIG
WARR,2026-03-05 22:35:46,WARR 051530Z 28011KT 8000 FEW020 27/24 Q1007 NOSIG
WARR,2026-03-05 23:06:05,WARR 051600Z 28013KT 8000 FEW020 27/24 Q1007 NOSIG
WARR,2026-03-05 23:35:32,WARR 051630Z 28011KT 8000 FEW020 27/24 Q1007 NOSIG
WARR,2026-03-06 00:05:48,WARR 051700Z 28012KT 8000 FEW020 27/24 Q1006 NOSIG
WARR,2026-03-06 00:35:55,WARR 051730Z 28012KT 8000 FEW020 26/24 Q1006 NOSIG
WARR,2026-03-06 05:03:08,WARR 052130Z 28010KT 8000 FEW020 26/24 Q1005 NOSIG
WARR,2026-03-06 08:57:05,WARR 060130Z 27013KT 9999 FEW020 30/25 Q1007 NOSIG
WARR,2026-03-06 09:05:25,WARR 060200Z 28013KT 9999 FEW020 31/25 Q1007 NOSIG
WARR,2026-03-06 09:35:20,WARR 060230Z 28014KT 9999 FEW020 31/25 Q1007 NOSIG
WARR,2026-03-06 10:05:17,WARR 060300Z 28014G22KT 9999 FEW020 31/25 Q1007 NOSIG
WARR,2026-03-06 10:35:29,WARR 060330Z 29014KT 9999 FEW020 32/25 Q1006 NOSIG
WARR,2026-03-06 11:06:10,WARR 060400Z 28014G21KT 9999 FEW020 31/25 Q1006 NOSIG
WARR,2026-03-06 13:00:11,WARR 060530Z 27013KT 9999 FEW020 32/25 Q1005 NOSIG
WARR,2026-03-06 13:06:19,WARR 060600Z 31013KT 9999 FEW020 32/25 Q1005 NOSIG
WARR,2026-03-06 13:52:01,WARR 060630Z 31013KT 9999 FEW020 33/25 Q1004 NOSIG
WARR,2026-03-06 13:56:07,WARR 060650Z 31013KT 9999 TS SCT020CB 33/25 Q1004 NOSIG
WARR,2026-03-06 14:05:30,WARR 060700Z 30020G28KT 9999 SCT020CB 31/24 Q1004 NOSIG
WARR,2026-03-06 14:36:18,WARR 060730Z 29023G36KT 2000 TSRA BKN016CB 28/20 Q1004 TEMPO TL0800 4000 TSRA
WARR,2026-03-06 14:41:34,WARR 060737Z 29016KT 8000 -RA SCT020CB 28/21 Q1004 RETS NOSIG
WARR,2026-03-06 15:05:31,WARR 060800Z 28010KT 9999 SCT020CB 27/22 Q1004 RERA NOSIG
WARR,2026-03-06 15:35:58,WARR 060830Z 29007KT 9999 SCT020CB 29/23 Q1004 NOSIG
WARR,2026-03-07 12:25:58,WARR 070500Z 27014KT 9999 SCT020 33/24 Q1006 NOSIG
WARR,2026-03-07 12:36:18,WARR 070530Z 27014KT 9999 SCT020 33/24 Q1005 NOSIG
WARR,2026-03-07 13:06:01,WARR 070600Z 28015G23KT 9999 SCT020 33/24 Q1005 NOSIG
WARR,2026-03-07 13:35:46,WARR 070630Z 29017KT 9999 SCT020 33/24 Q1005 NOSIG
WARR,2026-03-07 14:06:41,WARR 070700Z 30017KT 9999 SCT020 33/25 Q1005 NOSIG
WARR,2026-03-08 22:25:11,WARR 081500Z 26007KT 8000 FEW020 26/23 Q1010 NOSIG
WARR,2026-03-08 22:36:03,WARR 081530Z 26006KT 8000 FEW020 26/23 Q1010 NOSIG
WARR,2026-03-08 23:05:42,WARR 081600Z 26007KT 8000 FEW020 26/23 Q1010 NOSIG
WARR,2026-03-08 23:36:43,WARR 081630Z 28008KT 8000 FEW020 26/23 Q1010 NOSIG
WARR,2026-03-09 00:05:23,WARR 081700Z 26006KT 7000 FEW020 26/23 Q1010 NOSIG
WARR,2026-03-09 00:36:44,WARR 081730Z 26007KT 7000 FEW020 26/23 Q1009 NOSIG
WARR,2026-03-09 01:05:27,WARR 081800Z 26006KT 5000 HZ FEW020 26/23 Q1009 NOSIG
WARR,2026-03-09 01:35:34,WARR 081830Z 29005KT 5000 HZ FEW020 26/23 Q1009 NOSIG
WARR,2026-03-09 02:05:34,WARR 081900Z 26005KT 5000 HZ FEW020 26/23 Q1009 NOSIG
WARR,2026-03-09 02:35:35,WARR 081930Z 25005KT 5000 HZ FEW020 26/23 Q1009 NOSIG
WARR,2026-03-09 03:05:48,WARR 082000Z 26006KT 5000 HZ FEW020 26/23 Q1009 NOSIG
WARR,2026-03-11 12:58:14,WARR 110530Z 13006KT 9999 FEW020 35/23 Q1008 NOSIG
WARR,2026-03-11 13:54:05,WARR 110630Z 14009KT 9999 FEW020 34/23 Q1007 NOSIG
WARR,2026-03-11 14:05:34,WARR 110700Z 13007KT 9999 FEW020 33/23 Q1006 NOSIG
WARR,2026-03-11 14:35:31,WARR 110730Z 13008KT 9999 FEW020 34/23 Q1006 NOSIG
WARR,2026-03-11 15:06:04,WARR 110800Z 14007KT 9999 FEW020 33/23 Q1006 NOSIG
WARR,2026-03-11 15:36:09,WARR 110830Z 14008KT 9999 FEW020 31/24 Q1006 NOSIG
WARR,2026-03-11 16:10:20,WARR 110900Z 07005KT 9999 FEW020 33/24 Q1006 NOSIG
WARR,2026-03-11 16:43:17,WARR 110930Z VRB02KT 9999 FEW020 34/24 Q1006 NOSIG
WARR,2026-03-11 17:16:11,WARR 111000Z VRB02KT 9999 FEW020 32/24 Q1006 NOSIG
WARR,2026-03-11 17:35:45,WARR 111030Z 19006KT 9999 FEW020 32/23 Q1007 NOSIG
WARR,2026-03-11 17:41:16,WARR 111037Z 19006KT 8000 -RA FEW020CB 32/23 Q1007 NOSIG
WARR,2026-03-11 18:05:42,WARR 111100Z 23005KT 8000 FEW020CB 30/23 Q1007 RERA NOSIG
WARR,2026-03-11 18:35:35,WARR 111130Z 02005KT 8000 FEW020 30/26 Q1008 NOSIG
WARR,2026-03-11 18:44:00,WARR 111138Z 02005KT 8000 -RA FEW020 30/26 Q1008
WARR,2026-03-11 18:46:43,WARR 111144Z 36009KT 5000 RA FEW020 29/25 Q1008
WARR,2026-03-11 19:06:18,WARR 111200Z 31008KT 5000 RA FEW020 29/26 Q1008 NOSIG
WARR,2026-03-11 19:12:56,WARR 111210Z 32007KT 8000 FEW020 28/25 Q1008 RERA
WARR,2026-03-11 20:34:19,WARR 111300Z 28003KT 8000 FEW020 28/25 Q1008 NOSIG
WARR,2026-03-11 20:35:41,WARR 111330Z 8000 FEW020 28/24 Q1009 NOSIG
WARR,2026-03-11 21:06:30,WARR 111400Z VRB02KT 8000 FEW020 28/25 Q1009 NOSIG
WARR,2026-03-11 21:36:30,WARR 111430Z VRB02KT 8000 FEW020 28/23 Q1009 NOSIG
WARR,2026-03-12 08:40:41,WARR 120130Z VRB02KT 9999 FEW020 32/23 Q1008 NOSIG
WARR,2026-03-12 09:06:35,WARR 120200Z VRB02KT 9999 FEW020 34/22 Q1008 NOSIG
WARR,2026-03-12 09:35:44,WARR 120230Z 14004KT 9999 FEW020 34/23 Q1008 NOSIG
WARR,2026-03-12 10:06:27,WARR 120300Z VRB02KT 9999 FEW020 35/22 Q1008 NOSIG
WARR,2026-03-12 10:35:48,WARR 120330Z 14003KT 9999 FEW020 36/22 Q1008 NOSIG
WARR,2026-03-12 11:05:32,WARR 120400Z 19004KT 9999 FEW020 36/23 Q1008 NOSIG
WARR,2026-03-12 11:35:27,WARR 120430Z 14006KT 9999 FEW020 36/24 Q1007 NOSIG
WARR,2026-03-12 12:05:36,WARR 120500Z 9999 FEW020 36/23 NOSIG
WARR,2026-03-12 12:56:56,WARR 120530Z 9999 FEW020 Q1006 NOSIG
WARR,2026-03-12 13:06:28,WARR 120600Z 15006KT 9999 FEW020 36/23 Q1006 NOSIG
WARR,2026-03-12 14:26:43,WARR 120700Z 13007KT 9000 -RA SCT020 32/25 Q1005 TEMPO TL0730 4000 RA
WARR,2026-03-12 14:36:19,WARR 120730Z 11005KT 9999 SCT020 32/24 Q1005 RERA NOSIG
WARR,2026-03-12 15:08:50,WARR 120800Z 07004KT 9999 SCT020 32/25 Q1005 NOSIG
WARR,2026-03-12 15:36:03,WARR 120830Z 06007KT 9999 SCT020 31/24 Q1005 NOSIG
WARR,2026-03-12 16:06:03,WARR 120902Z 35004KT 8000 RA SCT020 29/24 Q1005 NOSIG
WARR,2026-03-12 16:10:08,WARR 120906Z 03004KT 5000 -TSRA FEW020CB 29/24 Q1005 NOSIG
WARR,2026-03-12 16:36:14,WARR 120930Z 18009KT 4000 TSRA FEW020CB 27/24 Q1006 TEMPO TL1000 4000 TSRA
WARR,2026-03-12 17:19:22,WARR 121000Z 25008KT 1000 +TSRA FEW020CB 27/24 Q1006 TEMPO TL1030 4000 TSRA
WARR,2026-03-12 18:38:01,WARR 121100Z 28004KT 8000 -RA FEW020CB 26/23 Q1007 RETS TEMPO TL1130 4000 TSRA
WARR,2026-03-12 19:06:37,WARR 121200Z 33003KT 8000 FEW020CB 26/24 Q1007 RERA NOSIG
WARR,2026-03-12 20:55:55,WARR 121330Z 01003KT 8000 FEW020 27/25 Q1008 NOSIG
WARR,2026-03-12 21:05:26,WARR 121400Z 36004KT 7000 FEW020 27/25 Q1008 NOSIG
WARR,2026-03-12 21:47:10,WARR 121430Z 7000 FEW020 Q1008 NOSIG
WARR,2026-03-12 22:06:35,WARR 121500Z 14007KT 8000 FEW020 27/24 Q1009 NOSIG
WARR,2026-03-13 03:46:56,WARR 122030Z 31004KT 4000 HZ FEW020 24/23 Q1008 NOSIG
WARR,2026-03-13 04:05:59,WARR 122100Z 29005KT 6000 FEW020 24/23 Q1007 NOSIG
WARR,2026-03-13 11:44:07,WARR 130430Z 19005G12KT 9999 FEW020 33/24 Q1007 NOSIG
WARR,2026-03-13 12:22:26,WARR 130500Z VRB02KT 9999 FEW020 33/25 Q1006 NOSIG
WARR,2026-03-13 12:35:24,WARR 130530Z 11007KT 9999 FEW020 31/25 Q1006 NOSIG
WARR,2026-03-13 13:05:18,WARR 130600Z 09009KT 9999 FEW020 32/25 Q1005 NOSIG
WARR,2026-03-13 13:36:19,WARR 130630Z 08008KT 9999 FEW020 32/25 Q1005 NOSIG
WARR,2026-03-13 14:05:31,WARR 130700Z 09009KT 9999 SCT020 33/25 Q1005 NOSIG
WARR,2026-03-13 07:39:50,WARR 130730Z 07008KT 9999 SCT020 32/26 Q1005 NOSIG
WARR,2026-03-13 07:49:23,WARR 130743Z 07008KT 9000 -RA FEW020CB 32/26 Q1005 NOSIG
WARR,2026-03-13 08:05:45,WARR 130800Z 07010KT 9000 -RA FEW020CB 32/25 Q1004 NOSIG
WARR,2026-03-13 08:24:50,WARR 130818Z 07010KT 9999 TS FEW020CB 32/25 Q1004 RERA NOSIG
WARR,2026-03-13 08:55:57,WARR 130841Z 07012KT 0200 +TSRA BKN016CB 29/26 Q1005 TEMPO TL0930 1000 +TSRA
WARR,2026-03-14 15:34:03,WARR 141500Z 21003KT 6000 FEW020 26/25 Q1011 NOSIG
WARR,2026-03-15 05:44:11,WARR 150530Z VRB02KT 9999 SCT020 32/26 Q1008 NOSIG
WARR,2026-03-16 04:24:21,WARR 160400Z VRB02KT 9999 FEW020 32/24 Q1010 NOSIG
WARR,2026-03-26 11:10:50,WARR 261100Z 26010KT 8000 -RA FEW020CB 27/24 Q1008 NOSIG
WARR,2026-03-26 11:21:39,WARR 261117Z 25009KT 8000 FEW020 27/24 Q1008 RERA NOSIG
WARR,2026-03-26 11:53:58,WARR 261130Z 24005KT 8000 FEW020 27/24 Q1008 NOSIG
WARR,2026-03-28 13:21:21,WARR 281300Z 27012KT 8000 -TSRA SCT020CB 25/24 Q1010 NOSIG
WARR,2026-03-28 13:35:22,WARR 281330Z 28007KT 8000 -TS SCT020CB 25/24 Q1010 RERA NOS
WARR,2026-03-28 13:35:55,WARR 281330Z 28007KT 8000 -TS SCT020CB 25/24 Q1010 RERA NOSIG
WARR,2026-03-28 14:05:44,WARR 281400Z 31006KT 8000 SCT020 25/24 Q1010 RETS NOSIG
WARR,2026-03-28 14:35:21,WARR 281430Z 24004KT 8000 SCT020 25/25 Q1010 NOSIG
WARR,2026-03-28 15:05:22,WARR 281500Z 26004KT 8000 SCT020 25/24 Q1010 NOSIG
WARR,2026-03-28 15:35:48,WARR 281530Z 26004KT 8000 FEW020 25/24 Q1010 NOSIG
WARR,2026-03-28 16:05:49,WARR 281600Z 23003KT 8000 FEW020 25/24 Q1010 NOSIG
WARR,2026-03-28 16:35:15,WARR 281630Z 28004KT 8000 FEW020 24/24 Q1010 NOSIG
WARR,2026-03-28 17:05:16,WARR 281700Z 29004KT 8000 FEW020 25/24 Q1010 NOSIG
WARR,2026-03-28 17:35:17,WARR 281730Z 25003KT 5000 HZ FEW020 25/24 Q1009 NOSIG
WARR,2026-03-28 17:35:53,WARR 281730Z 25003KT 5000 HZ FEW020 25/24 Q1009 NOS
WARR,2026-03-28 18:05:19,WARR 281800Z 26004KT 5000 HZ FEW020 25/24 Q1009 NOSIG
WARR,2026-03-28 18:35:20,WARR 281830Z 28003KT 5000 HZ FEW020 24/24 Q1009 NOSIG
WARR,2026-03-28 19:05:21,WARR 281900Z 25001KT 5000 HZ FEW020 25/24 Q1008 NOSIG
WARR,2026-03-28 19:35:23,WARR 281930Z 29003KT 5000 HZ FEW020 24/24 Q1008 NOSIG
WARR,2026-03-28 20:05:24,WARR 282000Z 27003KT 5000 HZ FEW020 25/24 Q1008 NOSIG
WARR,2026-03-28 20:35:26,WARR 282030Z 28002KT 5000 HZ FEW020 24/24 Q1008 NOSIG
WARR,2026-03-28 21:05:28,WARR 282100Z 24004KT 5000 HZ FEW020 25/25 Q1008 NOSIG
WARR,2026-03-28 21:43:37,WARR 282130Z 24003KT 5000 HZ FEW020 24/24 Q1008 NOSIG
WARR,2026-03-28 22:15:44,WARR 282200Z VRB02KT 5000 HZ FEW020 25/24 Q1008 NOSIG
WARR,2026-03-28 22:43:41,WARR 282230Z 26002KT 5000 HZ FEW020 25/24 Q1008 NOSIG
WARR,2026-03-31 06:45:58,WARR 310630Z 09006KT 9999 FEW020 33/24 Q1009 NOSIG
WARR,2026-03-31 07:06:01,WARR 310700Z 09006KT 9999 FEW020 33/24 Q1008 NOSIG
WARR,2026-03-31 08:23:48,WARR 310800Z 09005KT 9999 FEW020 33/24 Q1008 NOSIG
WARR,2026-03-31 08:35:30,WARR 310830Z 10006KT 9999 FEW020 33/24 Q1008 NOSIG
WARR,2026-03-31 09:05:41,WARR 310900Z 13006KT 9999 FEW020 32/24 Q1008 NOSIG
WARR,2026-03-31 23:06:04,WARR 312300Z VRB02KT 6000 FEW020 25/24 Q1010 NOSIG
WARR,2026-04-01 01:59:42,WARR 010130Z 15006KT 9999 FEW020 30/27 Q1011 NOSIG
WARR,2026-04-01 02:05:48,WARR 010200Z 11008KT 9999 FEW020 30/27 Q1011 NOSIG
WARR,2026-04-01 02:43:55,WARR 010230Z 11009KT 9999 FEW020 31/27 Q1011 NOSIG
WARR,2026-04-01 03:07:19,WARR 010300Z 11010KT 9999 FEW020 31/26 Q1011 NOSIG
WARR,2026-04-01 03:36:32,WARR 010330Z 10010KT 9999 FEW020 31/26 Q1011 NOSIG
WARR,2026-04-01 04:05:36,WARR 010400Z 11010KT 9999 FEW020 31/26 Q1010 NOSIG
WARR,2026-04-01 05:05:54,WARR 010500Z 09011KT 9999 FEW020 31/26 Q1010 NOSIG
WARR,2026-04-04 07:03:37,WARR 040630Z 07008KT 9999 FEW020CB 30/26 Q1007 RETS NOSIG
WARR,2026-04-04 07:05:43,WARR 040700Z 07009KT 9999 FEW020CB 30/26 Q1006 NOSIG
